Car [id=1, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=5198, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=343799 ]
Car [id=19, brand=Maruti, model=Swift, varient=LXI, year=2012, drivenKilometers=31999, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=321499 ]
Car [id=20, brand=Hyundai, model=i20, varient=MAGNA O 1.2, year=2013, drivenKilometers=39788, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=339799 ]
Car [id=21, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=31745, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=258999 ]
Car [id=22, brand=Maruti, model=Swift, varient=VDI ABS, year=2017, drivenKilometers=16646, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=479299 ]
Car [id=23, brand=Maruti, model=Swift, varient=ZXI, year=2012, drivenKilometers=15538, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=444699 ]
Car [id=24, brand=Hyundai, model=Grand, varient=i10 MAGNA 1.2 VTVT, year=2017, drivenKilometers=27050, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=379499 ]
Car [id=26, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=9527, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309299 ]
Car [id=27, brand=Renault, model=Kwid, varient=RXT Opt, year=2018, drivenKilometers=23811, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=294399 ]
Car [id=28, brand=Maruti, model=Celerio, varient=VXI AMT, year=2016, drivenKilometers=24250, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=371099 ]
Car [id=29, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=21305, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=305899 ]
Car [id=31, brand=Maruti, model=Swift, varient=VXI, year=2012, drivenKilometers=34092, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=329399 ]
Car [id=32, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=24069, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=280799 ]
Car [id=34, brand=Maruti, model=A, varient=Star VXI ABS AT, year=2010, drivenKilometers=24699, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=231799 ]
Car [id=35, brand=Datsun, model=Redi, varient=Go 1.0 S AT, year=2018, drivenKilometers=21341, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=362499 ]
Car [id=36, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=24353, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=208799 ]
Car [id=37, brand=Maruti, model=Alto, varient=K10 VXI, year=2012, drivenKilometers=43148, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=213899 ]
Car [id=38, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=45014, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=357599 ]
Car [id=40, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=33175, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=240799 ]
Car [id=41, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=35969, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=325099 ]
Car [id=44, brand=Maruti, model=Baleno, varient=DELTA 1.2 K12, year=2016, drivenKilometers=35013, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=459099 ]
Car [id=45, brand=Hyundai, model=Grand, varient=i10 MAGNA 1.2 VTVT, year=2013, drivenKilometers=43986, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=382299 ]
Car [id=46, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=47140, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=326099 ]
Car [id=47, brand=Maruti, model=Ritz, varient=LXI, year=2010, drivenKilometers=26740, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=241999 ]
Car [id=48, brand=Renault, model=Kwid, varient=1.0 RXT Opt, year=2019, drivenKilometers=15629, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=368099 ]
Car [id=50, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=42321, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=201099 ]
Car [id=51, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=18905, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=340799 ]
Car [id=52, brand=Maruti, model=A, varient=Star LXI, year=2011, drivenKilometers=53953, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=186599 ]
Car [id=53, brand=Maruti, model=Celerio, varient=VXI, year=2014, drivenKilometers=43574, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=300399 ]
Car [id=55, brand=Hyundai, model=Grand, varient=i10 SPORTZ 1.2 KAPPA VTVT, year=2013, drivenKilometers=43969, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=380499 ]
Car [id=56, brand=Maruti, model=Ritz, varient=ZXI, year=2010, drivenKilometers=41832, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=251999 ]
Car [id=57, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=23227, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=267199 ]
Car [id=59, brand=Maruti, model=A, varient=Star LXI, year=2009, drivenKilometers=30403, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=170799 ]
Car [id=60, brand=Hyundai, model=Elite, varient=i20 MAGNA 1.4 CRDI, year=2014, drivenKilometers=56402, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=447099 ]
Car [id=61, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=10123, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=283199 ]
Car [id=62, brand=Maruti, model=Alto, varient=K10 LXI, year=2016, drivenKilometers=32519, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=295399 ]
Car [id=63, brand=Maruti, model=Wagon, varient=R 1.0 VXI, year=2018, drivenKilometers=37274, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=378199 ]
Car [id=64, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=30113, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=306999 ]
Car [id=65, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=46683, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=263399 ]
Car [id=66, brand=Renault, model=Kwid, varient=RXT, year=2018, drivenKilometers=33824, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=322799 ]
Car [id=67, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=32339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=269599 ]
Car [id=68, brand=Maruti, model=Ritz, varient=LXI, year=2010, drivenKilometers=54953, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=242699 ]
Car [id=69, brand=Maruti, model=Ritz, varient=VDI, year=2012, drivenKilometers=41213, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=243799 ]
Car [id=70, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=49173, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=310199 ]
Car [id=71, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=35919, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=171699 ]
Car [id=76, brand=Volkswagen, model=Polo, varient=COMFORTLINE PLUS 1.0, year=2020, drivenKilometers=14468, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=601899 ]
Car [id=78, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=3212, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=367999 ]
Car [id=79, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=37134, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=256399 ]
Car [id=80, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=51228, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=260499 ]
Car [id=81, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=51523, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=228799 ]
Car [id=83, brand=Honda, model=Brio, varient=1.2 V MT I VTEC, year=2012, drivenKilometers=58581, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=233099 ]
Car [id=84, brand=Maruti, model=Ritz, varient=ZXI ABS, year=2014, drivenKilometers=61249, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=310599 ]
Car [id=85, brand=Maruti, model=Swift, varient=VDI ABS, year=2015, drivenKilometers=37481, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=411999 ]
Car [id=86, brand=Maruti, model=Ritz, varient=ZXI, year=2014, drivenKilometers=58664, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=326499 ]
Car [id=87, brand=Maruti, model=Swift, varient=LXI, year=2014, drivenKilometers=23888, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=451299 ]
Car [id=89, brand=Maruti, model=Swift, varient=LXI, year=2012, drivenKilometers=65916, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=324399 ]
Car [id=90, brand=Maruti, model=Celerio, varient=VXI, year=2019, drivenKilometers=11873, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=387299 ]
Car [id=91, brand=Hyundai, model=Elite, varient=i20 Magna Executive 1.2, year=2017, drivenKilometers=34782, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=544899 ]
Car [id=93, brand=Hyundai, model=i10, varient=MAGNA 1.2, year=2010, drivenKilometers=29993, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=213799 ]
Car [id=94, brand=Maruti, model=Wagon, varient=R LXI MINOR, year=2008, drivenKilometers=56724, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=175499 ]
Car [id=95, brand=Renault, model=Kwid, varient=RXL1.0 EASY-R AT, year=2017, drivenKilometers=32258, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=294599 ]
Car [id=97, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=45478, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=329299 ]
Car [id=98, brand=Maruti, model=Swift, varient=VXI, year=2017, drivenKilometers=15891, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=531899 ]
Car [id=99, brand=Maruti, model=Wagon, varient=R LXI MINOR, year=2009, drivenKilometers=36035, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=167899 ]
Car [id=101, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=36717, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=282499 ]
Car [id=102, brand=Maruti, model=Baleno, varient=DELTA 1.2 K12, year=2019, drivenKilometers=14977, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=629299 ]
Car [id=103, brand=Toyota, model=Etios, varient=Liva GD, year=2012, drivenKilometers=61443, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=304899 ]
Car [id=104, brand=Tata, model=Tiago, varient=XT 1.2 REVOTRON, year=2016, drivenKilometers=59746, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=391999 ]
Car [id=105, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=58850, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=330099 ]
Car [id=106, brand=Tata, model=Tiago, varient=XM 1.2 REVOTRON, year=2016, drivenKilometers=43387, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=323099 ]
Car [id=108, brand=Hyundai, model=i10, varient=SPORTZ 1.2 KAPPA2, year=2011, drivenKilometers=53077, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=265699 ]
Car [id=110, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=55752, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=143799 ]
Car [id=113, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=66350, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=311399 ]
Car [id=114, brand=Datsun, model=Redi, varient=Go A, year=2018, drivenKilometers=50472, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=225299 ]
Car [id=115, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=50024, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=266999 ]
Car [id=116, brand=Maruti, model=Ritz, varient=VXI BS IV, year=2011, drivenKilometers=76919, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=242799 ]
Car [id=118, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=70239, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=150499 ]
Car [id=119, brand=Maruti, model=Swift, varient=VDI ABS, year=2017, drivenKilometers=68792, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=491599 ]
Car [id=120, brand=Hyundai, model=i10, varient=MAGNA 1.1 IRDE2, year=2011, drivenKilometers=66492, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=257299 ]
Car [id=121, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=68546, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=346899 ]
Car [id=122, brand=Hyundai, model=i10, varient=SPORTZ 1.2, year=2008, drivenKilometers=66404, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=172299 ]
Car [id=124, brand=Toyota, model=Etios, varient=Liva GD, year=2013, drivenKilometers=67401, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=302099 ]
Car [id=126, brand=Maruti, model=A, varient=Star VXI, year=2009, drivenKilometers=62155, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=164799 ]
Car [id=127, brand=Honda, model=Jazz, varient=1.2 V AT, year=2018, drivenKilometers=20232, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=597799 ]
Car [id=129, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=65151, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=287399 ]
Car [id=130, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=63561, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=350599 ]
Car [id=132, brand=Hyundai, model=Elite, varient=i20 ASTA 1.2, year=2015, drivenKilometers=59466, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=505899 ]
Car [id=133, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=41185, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=286499 ]
Car [id=134, brand=Maruti, model=Swift, varient=VDI ABS, year=2015, drivenKilometers=59849, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=425399 ]
Car [id=135, brand=Maruti, model=Ritz, varient=VXI, year=2009, drivenKilometers=62936, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=239799 ]
Car [id=136, brand=Maruti, model=Swift, varient=LXI 1.3, year=2008, drivenKilometers=86350, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=189999 ]
Car [id=137, brand=Maruti, model=Celerio, varient=ZXI, year=2016, drivenKilometers=72059, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=352499 ]
Car [id=140, brand=Maruti, model=Swift, varient=VDI, year=2014, drivenKilometers=64031, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=403899 ]
Car [id=142, brand=Maruti, model=Swift, varient=LXI 1.3, year=2008, drivenKilometers=61909, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=196299 ]
Car [id=143, brand=Maruti, model=Swift, varient=ZDI, year=2012, drivenKilometers=80936, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309499 ]
Car [id=144, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=62613, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=141099 ]
Car [id=147, brand=Hyundai, model=i10, varient=MAGNA 1.1 IRDE2, year=2012, drivenKilometers=83685, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=208199 ]
Car [id=148, brand=Hyundai, model=i10, varient=MAGNA 1.2 KAPPA2, year=2010, drivenKilometers=87770, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=195799 ]
Car [id=149, brand=Maruti, model=Swift, varient=ZXI, year=2012, drivenKilometers=70522, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=399599 ]
Car [id=150, brand=Maruti, model=Swift, varient=ZDI, year=2014, drivenKilometers=72636, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=428799 ]
Car [id=151, brand=Maruti, model=Ritz, varient=VDI, year=2013, drivenKilometers=66549, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=300499 ]
Car [id=152, brand=Maruti, model=Swift, varient=ZXI, year=2015, drivenKilometers=67696, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=381399 ]
Car [id=153, brand=Hyundai, model=i10, varient=MAGNA 1.2, year=2008, drivenKilometers=69701, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=164599 ]
Car [id=154, brand=Hyundai, model=i10, varient=MAGNA 1.2 KAPPA2, year=2011, drivenKilometers=85761, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=204499 ]
Car [id=155, brand=Maruti, model=Swift, varient=VDI ABS, year=2015, drivenKilometers=63642, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=393099 ]
Car [id=156, brand=Volkswagen, model=Polo, varient=COMFORTLINE 1.2L DIESEL, year=2012, drivenKilometers=69584, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=326699 ]
Car [id=157, brand=Honda, model=Jazz, varient=1.2 BASE I VTEC, year=2010, drivenKilometers=69305, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=318499 ]
Car [id=158, brand=Hyundai, model=i10, varient=SPORTZ 1.2 KAPPA2, year=2011, drivenKilometers=79303, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=211999 ]
Car [id=159, brand=Maruti, model=Wagon, varient=R 1.0 LXI, year=2018, drivenKilometers=69958, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=366099 ]
Car [id=160, brand=Hyundai, model=Grand, varient=i10 SPORTZ 1.1 CRDI, year=2013, drivenKilometers=64179, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=283299 ]
Car [id=162, brand=Toyota, model=Etios, varient=Liva D 4D GD, year=2013, drivenKilometers=65986, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=314299 ]
Car [id=163, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=57864, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=143199 ]
Car [id=164, brand=Maruti, model=Ritz, varient=VDI, year=2013, drivenKilometers=70687, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=278899 ]
Car [id=165, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=70684, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=334999 ]
Car [id=167, brand=Maruti, model=Ritz, varient=VDI, year=2015, drivenKilometers=64475, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=294699 ]
Car [id=168, brand=Maruti, model=Ritz, varient=VDI, year=2013, drivenKilometers=76553, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=273599 ]
Car [id=170, brand=Maruti, model=Swift, varient=VDI ABS, year=2015, drivenKilometers=66476, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=406099 ]
Car [id=171, brand=Maruti, model=Swift, varient=VXI, year=2011, drivenKilometers=78545, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=323499 ]
Car [id=172, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=76353, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=308299 ]
Car [id=174, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=61907, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=231799 ]
Car [id=176, brand=Maruti, model=Swift, varient=VDI ABS, year=2015, drivenKilometers=80910, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=405899 ]
Car [id=177, brand=Maruti, model=Alto, varient=K10 LXI, year=2011, drivenKilometers=80346, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=207499 ]
Car [id=178, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=84213, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=317399 ]
Car [id=181, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=82585, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=302799 ]
Car [id=182, brand=Maruti, model=Swift, varient=VDI, year=2012, drivenKilometers=80682, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=304899 ]
Car [id=183, brand=Hyundai, model=Elite, varient=i20 SPORTZ 1.2, year=2017, drivenKilometers=74267, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=499299 ]
Car [id=184, brand=Hyundai, model=Elite, varient=i20 MAGNA 1.4 CRDI, year=2015, drivenKilometers=78343, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=438699 ]
Car [id=185, brand=Hyundai, model=i20, varient=Active 1.4 S, year=2018, drivenKilometers=70732, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=534699 ]
Car [id=186, brand=Maruti, model=Swift, varient=ZDI, year=2012, drivenKilometers=84352, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=320299 ]
Car [id=187, brand=Maruti, model=Swift, varient=LDI BS IV, year=2013, drivenKilometers=75493, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=301499 ]
Car [id=189, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=83258, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=134599 ]
Car [id=190, brand=Maruti, model=Swift, varient=VDI, year=2015, drivenKilometers=86567, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=363699 ]
Car [id=191, brand=Hyundai, model=i10, varient=MAGNA 1.2, year=2008, drivenKilometers=94707, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=157499 ]
Car [id=193, brand=Maruti, model=Swift, varient=VDI, year=2013, drivenKilometers=67011, fuel=Diesel, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=345399 ]
