id=1, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=5198, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=343799
id=101, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=36717, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=282499
id=110, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=55752, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=143799
id=115, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=50024, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=266999
id=118, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=70239, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=150499
id=129, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=65151, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=287399
id=133, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=41185, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=286499
id=144, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=62613, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=141099
id=163, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=57864, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=143199
id=174, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=61907, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=231799
id=177, brand=Maruti, model=Alto, varient=K10 LXI, year=2011, drivenKilometers=80346, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=207499
id=189, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=83258, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=134599
id=199, brand=Maruti, model=Alto, varient=K10 VXI, year=2016, drivenKilometers=85207, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=268299
id=200, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=54799, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=112399
id=217, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=118427, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=168499
id=267, brand=Maruti, model=Alto, varient=800 LXI, year=2012, drivenKilometers=126375, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=195299
id=328, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=38526, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=216099
id=334, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=18946, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=275399
id=335, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=14455, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=178299
id=338, brand=Maruti, model=Alto, varient=LXI, year=2011, drivenKilometers=38478, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=182399
id=340, brand=Maruti, model=Alto, varient=K10 VXI AMT, year=2016, drivenKilometers=47974, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=273499
id=343, brand=Maruti, model=Alto, varient=K10 VXI, year=2019, drivenKilometers=8339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=399099
id=346, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=51412, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=261799
id=368, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=20354, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=210999
id=373, brand=Maruti, model=Alto, varient=800 VXI, year=2017, drivenKilometers=12676, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=275099
id=379, brand=Maruti, model=Alto, varient=800 LXI, year=2013, drivenKilometers=29578, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=181799
id=381, brand=Maruti, model=Alto, varient=K10 VXI, year=2010, drivenKilometers=41190, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=176199
id=383, brand=Maruti, model=Alto, varient=LXI, year=2011, drivenKilometers=49111, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=127299
id=385, brand=Maruti, model=Alto, varient=K10 VXI, year=2013, drivenKilometers=36750, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=210699
id=386, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=24357, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=272399
id=387, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=16339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=231299
id=388, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=11886, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=214099
id=389, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=42796, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=242099
id=396, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=18113, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=282999
id=409, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=57955, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=263699
id=410, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=5851, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=308599
id=411, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=25088, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=173599
id=415, brand=Maruti, model=Alto, varient=K10 LXI, year=2017, drivenKilometers=2678, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=277799
id=425, brand=Maruti, model=Alto, varient=K10 VXI, year=2013, drivenKilometers=21784, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=235399
id=429, brand=Maruti, model=Alto, varient=800 LXI, year=2013, drivenKilometers=50250, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=193299
id=438, brand=Maruti, model=Alto, varient=LXI, year=2020, drivenKilometers=19593, fuel=Petrol + CNG, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=321199
id=440, brand=Maruti, model=Alto, varient=K10 VXI, year=2016, drivenKilometers=34487, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=262199
id=452, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=27886, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=272899
id=469, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=58267, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=109699
id=478, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=66835, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=211899
id=479, brand=Maruti, model=Alto, varient=LXI, year=2020, drivenKilometers=18509, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=309199
id=493, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=52578, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=239099
id=523, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=39904, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=213899
id=530, brand=Maruti, model=Alto, varient=800 LXI, year=2019, drivenKilometers=36612, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=271599
id=534, brand=Maruti, model=Alto, varient=K10 LXI, year=2015, drivenKilometers=93206, fuel=Petrol + CNG, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=212099
id=542, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=50067, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=188000
id=606, brand=Maruti, model=Alto, varient=800 LX CNG, year=2016, drivenKilometers=38176, fuel=Petrol + CNG, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=290000
id=609, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=38682, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=225000
id=612, brand=Maruti, model=Alto, varient=800 LX, year=2013, drivenKilometers=64046, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=134000
id=622, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=53631, fuel=Petrol + CNG, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=310000
id=633, brand=Maruti, model=Alto, varient=K10 VXI, year=2016, drivenKilometers=18003, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=261499
id=634, brand=Maruti, model=Alto, varient=LXI, year=2020, drivenKilometers=3942, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=373399
id=636, brand=Maruti, model=Alto, varient=K10 VXI AMT, year=2016, drivenKilometers=226232, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=308099
id=638, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=20269, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=340199
id=639, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=38911, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=271699
id=645, brand=Maruti, model=Alto, varient=LXI, year=2019, drivenKilometers=41638, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=337299
id=646, brand=Maruti, model=Alto, varient=K10 VXI OPT, year=2016, drivenKilometers=67755, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=275099
id=651, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=90530, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=254299
id=652, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=69763, fuel=Petrol, ownerType=Third Owner, bodyType=Hatchback, location=Delhi, price=231499
id=653, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=106867, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=303799
id=658, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=114943, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=219599
id=661, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=21728, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=136499
id=663, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=47593, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=178099
id=668, brand=Maruti, model=Alto, varient=LXI, year=2019, drivenKilometers=5251, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=356699
id=669, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=31495, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Delhi, price=357299
id=676, brand=Maruti, model=Alto, varient=LXI, year=2007, drivenKilometers=57718, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=92799
id=683, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=21941, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Delhi, price=277399
id=1291, brand=Maruti, model=Alto, varient=800 LXI, year=2013, drivenKilometers=29578, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=181799
id=1293, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=5198, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=343799
id=1300, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=8501, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=309499
id=1303, brand=Maruti, model=Alto, varient=K10 LXI, year=2015, drivenKilometers=10957, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=302099
id=1308, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=9036, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=360699
id=1310, brand=Maruti, model=Alto, varient=K10 LXI, year=2017, drivenKilometers=32669, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=271499
id=1311, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=29645, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=185299
id=1315, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=31745, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=258999
id=1319, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=9527, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=309299
id=1322, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=21305, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=305899
id=1323, brand=Maruti, model=Alto, varient=K10 VXI (O) AMT, year=2017, drivenKilometers=20764, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=369299
id=1325, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=24069, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=280799
id=1326, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=56231, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=174199
id=1329, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=24353, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=208799
id=1330, brand=Maruti, model=Alto, varient=K10 VXI, year=2012, drivenKilometers=43148, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=213899
id=1333, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=33175, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=240799
id=1343, brand=Maruti, model=Alto, varient=K10 LXI, year=2012, drivenKilometers=42321, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=201099
id=1344, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=18905, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=340799
id=1350, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=23227, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=267199
id=1354, brand=Maruti, model=Alto, varient=800 LXI, year=2018, drivenKilometers=10123, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=283199
id=1355, brand=Maruti, model=Alto, varient=K10 LXI, year=2016, drivenKilometers=32519, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=295399
id=1357, brand=Maruti, model=Alto, varient=K10 VXI, year=2017, drivenKilometers=30113, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=306999
id=1358, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=46683, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=263399
id=1360, brand=Maruti, model=Alto, varient=800 VXI, year=2016, drivenKilometers=32339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=269599
id=1365, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=35919, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=171699
id=1374, brand=Maruti, model=Alto, varient=K10 VXI, year=2018, drivenKilometers=3212, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=367999
id=1375, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=37134, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=256399
id=1376, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=51228, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=260499
id=1377, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=51523, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=228799
id=1388, brand=Maruti, model=Alto, varient=K10 VXI, year=2010, drivenKilometers=63843, fuel=Petrol, ownerType=Third Owner, bodyType=Hatchback, location=Noida, price=173799
id=1397, brand=Maruti, model=Alto, varient=800 LXI, year=2016, drivenKilometers=36717, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=282499
id=1406, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=55752, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=143799
id=1411, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=50024, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=266999
id=1414, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=70239, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=150499
id=1425, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=65151, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=287399
id=1429, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=41185, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=286499
id=1440, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=62613, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=141099
id=1459, brand=Maruti, model=Alto, varient=LXI, year=2009, drivenKilometers=57864, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=143199
id=1470, brand=Maruti, model=Alto, varient=800 LXI, year=2015, drivenKilometers=61907, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=231799
id=1473, brand=Maruti, model=Alto, varient=K10 LXI, year=2011, drivenKilometers=80346, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=207499
id=1485, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=83258, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=134599
id=1495, brand=Maruti, model=Alto, varient=K10 VXI, year=2016, drivenKilometers=85207, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=268299
id=1496, brand=Maruti, model=Alto, varient=LXI, year=2008, drivenKilometers=54799, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=112399
id=1513, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=118427, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=168499
id=1563, brand=Maruti, model=Alto, varient=800 LXI, year=2012, drivenKilometers=126375, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=195299
id=1624, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=38526, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=216099
id=1630, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=18946, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=275399
id=1631, brand=Maruti, model=Alto, varient=LXI, year=2010, drivenKilometers=14455, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=178299
id=1635, brand=Maruti, model=Alto, varient=LXI, year=2011, drivenKilometers=38478, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=182399
id=1637, brand=Maruti, model=Alto, varient=K10 VXI AMT, year=2016, drivenKilometers=47974, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=273499
id=1640, brand=Maruti, model=Alto, varient=K10 VXI, year=2019, drivenKilometers=8339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=399099
id=1642, brand=Maruti, model=Alto, varient=K10 VXI, year=2015, drivenKilometers=51412, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=261799
id=1662, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=20354, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=210999
id=1666, brand=Maruti, model=Alto, varient=800 VXI, year=2017, drivenKilometers=12676, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=275099
id=1673, brand=Maruti, model=Alto, varient=K10 VXI, year=2010, drivenKilometers=41190, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=176199
id=1675, brand=Maruti, model=Alto, varient=LXI, year=2011, drivenKilometers=49111, fuel=Petrol, ownerType=Second Owner, bodyType=Hatchback, location=Noida, price=127299
id=1677, brand=Maruti, model=Alto, varient=K10 VXI, year=2013, drivenKilometers=36750, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=210699
id=1678, brand=Maruti, model=Alto, varient=K10 VXI, year=2014, drivenKilometers=24357, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=272399
id=1679, brand=Maruti, model=Alto, varient=800 LXI, year=2014, drivenKilometers=16339, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=231299
id=1680, brand=Maruti, model=Alto, varient=K10 VXI, year=2011, drivenKilometers=11886, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=214099
id=1681, brand=Maruti, model=Alto, varient=800 VXI, year=2014, drivenKilometers=42796, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=242099
id=1687, brand=Maruti, model=Alto, varient=800 LXI, year=2017, drivenKilometers=18113, fuel=Petrol, ownerType=First Owner, bodyType=Hatchback, location=Noida, price=282999
