ID,Brand,Model,Varient,Manufacture Year,Driven Kilometers,Fuel,Number of Owner,Body Type,Location,Price
32,Maruti,Alto,800 VXI,2016,24069,Petrol,First Owner,Hatchback,Delhi,280799
33,Maruti,Alto,LXI,2010,56231,Petrol,Second Owner,Hatchback,Delhi,174199
34,Maruti,A,Star VXI ABS AT,2010,24699,Petrol,First Owner,Hatchback,Delhi,231799
35,Datsun,Redi,Go 1.0 S AT,2018,21341,Petrol,First Owner,Hatchback,Delhi,362499
36,Maruti,Alto,K10 VXI,2011,24353,Petrol,First Owner,Hatchback,Delhi,208799
37,Maruti,Alto,K10 VXI,2012,43148,Petrol,First Owner,Hatchback,Delhi,213899
38,Maruti,Swift,VDI,2013,45014,Diesel,First Owner,Hatchback,Delhi,357599
39,Maruti,Swift,VDI,2013,50647,Diesel,Second Owner,Hatchback,Delhi,342499
40,Maruti,Alto,K10 LXI,2012,33175,Petrol,First Owner,Hatchback,Delhi,240799
41,Maruti,Swift,VDI,2012,35969,Diesel,First Owner,Hatchback,Delhi,325099
42,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2016,41227,Petrol,Third Owner,Hatchback,Delhi,374499
43,Maruti,Zen,Estilo VXI,2010,50189,Petrol,Second Owner,Hatchback,Delhi,173499
44,Maruti,Baleno,DELTA 1.2 K12,2016,35013,Petrol,First Owner,Hatchback,Delhi,459099
45,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2013,43986,Petrol,First Owner,Hatchback,Delhi,382299
46,Maruti,Swift,VDI,2012,47140,Diesel,First Owner,Hatchback,Delhi,326099
47,Maruti,Ritz,LXI,2010,26740,Petrol,First Owner,Hatchback,Delhi,241999
48,Renault,Kwid,1.0 RXT Opt,2019,15629,Petrol,First Owner,Hatchback,Delhi,368099
49,Maruti,Swift,LXI,2013,43265,Petrol,Third Owner,Hatchback,Delhi,330599
50,Maruti,Alto,K10 LXI,2012,42321,Petrol,First Owner,Hatchback,Delhi,201099
51,Maruti,Alto,K10 VXI,2017,18905,Petrol,First Owner,Hatchback,Delhi,340799
52,Maruti,A,Star LXI,2011,53953,Petrol,First Owner,Hatchback,Delhi,186599
53,Maruti,Celerio,VXI,2014,43574,Petrol,First Owner,Hatchback,Delhi,300399
54,Hyundai,Elite,i20 SPORTZ (O) 1.4,2015,58080,Diesel,Second Owner,Hatchback,Delhi,506199
55,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2013,43969,Petrol,First Owner,Hatchback,Delhi,380499
56,Maruti,Ritz,ZXI,2010,41832,Petrol,First Owner,Hatchback,Delhi,251999
57,Maruti,Alto,800 LXI,2017,23227,Petrol,First Owner,Hatchback,Delhi,267199
58,Volkswagen,Polo,COMFORTLINE 1.2L PETROL,2013,49148,Petrol,Second Owner,Hatchback,Delhi,306399
59,Maruti,A,Star LXI,2009,30403,Petrol,First Owner,Hatchback,Delhi,170799
60,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2014,56402,Diesel,First Owner,Hatchback,Delhi,447099
61,Maruti,Alto,800 LXI,2018,10123,Petrol,First Owner,Hatchback,Delhi,283199
62,Maruti,Alto,K10 LXI,2016,32519,Petrol,First Owner,Hatchback,Delhi,295399
63,Maruti,Wagon,R 1.0 VXI,2018,37274,Petrol,First Owner,Hatchback,Delhi,378199
64,Maruti,Alto,K10 VXI,2017,30113,Petrol,First Owner,Hatchback,Delhi,306999
65,Maruti,Alto,K10 VXI,2015,46683,Petrol,First Owner,Hatchback,Delhi,263399
66,Renault,Kwid,RXT,2018,33824,Petrol,First Owner,Hatchback,Delhi,322799
67,Maruti,Alto,800 VXI,2016,32339,Petrol,First Owner,Hatchback,Delhi,269599
68,Maruti,Ritz,LXI,2010,54953,Petrol,First Owner,Hatchback,Delhi,242699
69,Maruti,Ritz,VDI,2012,41213,Diesel,First Owner,Hatchback,Delhi,243799
70,Maruti,Swift,VDI,2013,49173,Diesel,First Owner,Hatchback,Delhi,310199
71,Maruti,Alto,LXI,2009,35919,Petrol,First Owner,Hatchback,Delhi,171699
72,Honda,Brio,1.2 VX MT I VTEC,2015,41441,Petrol,Second Owner,Hatchback,Delhi,342199
73,Maruti,Ritz,VXI BS IV,2011,59945,Petrol,Third Owner,Hatchback,Delhi,258399
74,Hyundai,i10,MAGNA 1.1 IRDE2,2011,29101,Petrol,Third Owner,Hatchback,Delhi,238999
75,Renault,Kwid,RXT,2016,27806,Petrol,Second Owner,Hatchback,Delhi,264799
76,Volkswagen,Polo,COMFORTLINE PLUS 1.0,2020,14468,Petrol,First Owner,Hatchback,Delhi,601899
77,Maruti,Ritz,LXI,2010,59370,Petrol,Second Owner,Hatchback,Delhi,181999
78,Maruti,Alto,K10 VXI,2018,3212,Petrol,First Owner,Hatchback,Delhi,367999
79,Maruti,Alto,800 VXI,2014,37134,Petrol,First Owner,Hatchback,Delhi,256399
80,Maruti,Alto,K10 VXI,2014,51228,Petrol,First Owner,Hatchback,Delhi,260499
81,Maruti,Alto,K10 VXI,2011,51523,Petrol,First Owner,Hatchback,Delhi,228799
82,Honda,Brio,1.2 S MT I VTEC,2015,58396,Petrol,Second Owner,Hatchback,Delhi,340899
83,Honda,Brio,1.2 V MT I VTEC,2012,58581,Petrol,First Owner,Hatchback,Delhi,233099
84,Maruti,Ritz,ZXI ABS,2014,61249,Petrol,First Owner,Hatchback,Delhi,310599
85,Maruti,Swift,VDI ABS,2015,37481,Diesel,First Owner,Hatchback,Delhi,411999
86,Maruti,Ritz,ZXI,2014,58664,Petrol,First Owner,Hatchback,Delhi,326499
87,Maruti,Swift,LXI,2014,23888,Petrol,First Owner,Hatchback,Delhi,451299
88,Maruti,Swift,VXI,2014,61261,Petrol,Second Owner,Hatchback,Delhi,379099
89,Maruti,Swift,LXI,2012,65916,Petrol,First Owner,Hatchback,Delhi,324399
90,Maruti,Celerio,VXI,2019,11873,Petrol,First Owner,Hatchback,Delhi,387299
91,Hyundai,Elite,i20 Magna Executive 1.2,2017,34782,Petrol,First Owner,Hatchback,Delhi,544899
92,Maruti,Alto,K10 VXI,2010,63843,Petrol,Third Owner,Hatchback,Delhi,173799
93,Hyundai,i10,MAGNA 1.2,2010,29993,Petrol,First Owner,Hatchback,Delhi,213799
94,Maruti,Wagon,R LXI MINOR,2008,56724,Petrol,First Owner,Hatchback,Delhi,175499
95,Renault,Kwid,RXL1.0 EASY-R AT,2017,32258,Petrol,First Owner,Hatchback,Delhi,294599
96,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2017,35013,Petrol,Second Owner,Hatchback,Delhi,428399
97,Maruti,Swift,VDI,2013,45478,Diesel,First Owner,Hatchback,Delhi,329299
98,Maruti,Swift,VXI,2017,15891,Petrol,First Owner,Hatchback,Delhi,531899
99,Maruti,Wagon,R LXI MINOR,2009,36035,Petrol,First Owner,Hatchback,Delhi,167899
100,Maruti,Wagon,R 1.0 LXI,2011,59276,Petrol,Second Owner,Hatchback,Delhi,225299
101,Maruti,Alto,800 LXI,2016,36717,Petrol,First Owner,Hatchback,Delhi,282499
102,Maruti,Baleno,DELTA 1.2 K12,2019,14977,Petrol,First Owner,Hatchback,Delhi,629299
103,Toyota,Etios,Liva GD,2012,61443,Diesel,First Owner,Hatchback,Delhi,304899
104,Tata,Tiago,XT 1.2 REVOTRON,2016,59746,Petrol,First Owner,Hatchback,Delhi,391999
105,Maruti,Swift,VDI,2013,58850,Diesel,First Owner,Hatchback,Delhi,330099
106,Tata,Tiago,XM 1.2 REVOTRON,2016,43387,Petrol,First Owner,Hatchback,Delhi,323099
107,Renault,Kwid,RXT Opt,2018,32716,Petrol,Second Owner,Hatchback,Delhi,297999
108,Hyundai,i10,SPORTZ 1.2 KAPPA2,2011,53077,Petrol,First Owner,Hatchback,Delhi,265699
109,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2015,52659,Diesel,Second Owner,Hatchback,Delhi,444399
110,Maruti,Alto,LXI,2009,55752,Petrol,First Owner,Hatchback,Delhi,143799
111,Hyundai,i20,MAGNA 1.2 VTVT,2009,86251,Petrol,Second Owner,Hatchback,Delhi,178699
112,Hyundai,i10,ERA 1.1 IRDE,2010,37419,Petrol,Second Owner,Hatchback,Delhi,221499
113,Maruti,Swift,VDI,2013,66350,Diesel,First Owner,Hatchback,Delhi,311399
114,Datsun,Redi,Go A,2018,50472,Petrol,First Owner,Hatchback,Delhi,225299
115,Maruti,Alto,800 LXI,2015,50024,Petrol,First Owner,Hatchback,Delhi,266999
116,Maruti,Ritz,VXI BS IV,2011,76919,Petrol,First Owner,Hatchback,Delhi,242799
117,Hyundai,Grand,i10 MAGNA 1.2 VTVT,2016,65895,Petrol,Third Owner,Hatchback,Delhi,378599
118,Maruti,Alto,LXI,2010,70239,Petrol,First Owner,Hatchback,Delhi,150499
119,Maruti,Swift,VDI ABS,2017,68792,Diesel,First Owner,Hatchback,Delhi,491599
120,Hyundai,i10,MAGNA 1.1 IRDE2,2011,66492,Petrol,First Owner,Hatchback,Delhi,257299
121,Maruti,Swift,VDI,2013,68546,Diesel,First Owner,Hatchback,Delhi,346899
122,Hyundai,i10,SPORTZ 1.2,2008,66404,Petrol,First Owner,Hatchback,Delhi,172299
123,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,2016,35754,Petrol,Second Owner,Hatchback,Delhi,450199
124,Toyota,Etios,Liva GD,2013,67401,Diesel,First Owner,Hatchback,Delhi,302099
125,Maruti,Swift,VDI ABS,2015,61216,Diesel,Second Owner,Hatchback,Delhi,410499
126,Maruti,A,Star VXI,2009,62155,Petrol,First Owner,Hatchback,Delhi,164799
127,Honda,Jazz,1.2 V AT,2018,20232,Petrol,First Owner,Hatchback,Delhi,597799
128,Hyundai,Elite,i20 1.4 CRDI ASTA (O),2016,44364,Diesel,Second Owner,Hatchback,Delhi,546199
129,Maruti,Alto,800 LXI,2017,65151,Petrol,First Owner,Hatchback,Delhi,287399
130,Maruti,Swift,VDI,2013,63561,Diesel,First Owner,Hatchback,Delhi,350599
131,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,73012,Petrol,Second Owner,Hatchback,Delhi,241599
132,Hyundai,Elite,i20 ASTA 1.2,2015,59466,Petrol,First Owner,Hatchback,Delhi,505899
133,Maruti,Alto,800 LXI,2017,41185,Petrol,First Owner,Hatchback,Delhi,286499
134,Maruti,Swift,VDI ABS,2015,59849,Diesel,First Owner,Hatchback,Delhi,425399
135,Maruti,Ritz,VXI,2009,62936,Petrol,First Owner,Hatchback,Delhi,239799
136,Maruti,Swift,LXI 1.3,2008,86350,Petrol,First Owner,Hatchback,Delhi,189999
137,Maruti,Celerio,ZXI,2016,72059,Petrol,First Owner,Hatchback,Delhi,352499
138,Toyota,Etios,Liva D-4D VXD,2014,59700,Diesel,Second Owner,Hatchback,Delhi,374799
139,Maruti,Wagon,R 1.0 LXI,2011,49767,Petrol,Second Owner,Hatchback,Delhi,211399
140,Maruti,Swift,VDI,2014,64031,Diesel,First Owner,Hatchback,Delhi,403899
141,Maruti,Zen,Estilo LXI,2010,66275,Petrol,Second Owner,Hatchback,Delhi,179099
142,Maruti,Swift,LXI 1.3,2008,61909,Petrol,First Owner,Hatchback,Delhi,196299
143,Maruti,Swift,ZDI,2012,80936,Diesel,First Owner,Hatchback,Delhi,309499
144,Maruti,Alto,LXI,2008,62613,Petrol,First Owner,Hatchback,Delhi,141099
145,Hyundai,i20,SPORTZ 1.2 VTVT,2014,70969,Petrol,Second Owner,Hatchback,Delhi,345199
146,Hyundai,i20,SPORTZ 1.4 CRDI,2012,85411,Diesel,Second Owner,Hatchback,Delhi,259799
147,Hyundai,i10,MAGNA 1.1 IRDE2,2012,83685,Petrol,First Owner,Hatchback,Delhi,208199
148,Hyundai,i10,MAGNA 1.2 KAPPA2,2010,87770,Petrol,First Owner,Hatchback,Delhi,195799
149,Maruti,Swift,ZXI,2012,70522,Petrol,First Owner,Hatchback,Delhi,399599
150,Maruti,Swift,ZDI,2014,72636,Diesel,First Owner,Hatchback,Delhi,428799
151,Maruti,Ritz,VDI,2013,66549,Diesel,First Owner,Hatchback,Delhi,300499
152,Maruti,Swift,ZXI,2015,67696,Petrol,First Owner,Hatchback,Delhi,381399
153,Hyundai,i10,MAGNA 1.2,2008,69701,Petrol,First Owner,Hatchback,Delhi,164599
154,Hyundai,i10,MAGNA 1.2 KAPPA2,2011,85761,Petrol,First Owner,Hatchback,Delhi,204499
155,Maruti,Swift,VDI ABS,2015,63642,Diesel,First Owner,Hatchback,Delhi,393099
156,Volkswagen,Polo,COMFORTLINE 1.2L DIESEL,2012,69584,Diesel,First Owner,Hatchback,Delhi,326699
157,Honda,Jazz,1.2 BASE I VTEC,2010,69305,Petrol,First Owner,Hatchback,Delhi,318499
158,Hyundai,i10,SPORTZ 1.2 KAPPA2,2011,79303,Petrol,First Owner,Hatchback,Delhi,211999
159,Maruti,Wagon,R 1.0 LXI,2018,69958,Petrol,First Owner,Hatchback,Delhi,366099
160,Hyundai,Grand,i10 SPORTZ 1.1 CRDI,2013,64179,Diesel,First Owner,Hatchback,Delhi,283299
161,Maruti,A,Star VXI,2009,81050,Petrol,Second Owner,Hatchback,Delhi,162999
162,Toyota,Etios,Liva D 4D GD,2013,65986,Diesel,First Owner,Hatchback,Delhi,314299
163,Maruti,Alto,LXI,2009,57864,Petrol,First Owner,Hatchback,Delhi,143199
164,Maruti,Ritz,VDI,2013,70687,Diesel,First Owner,Hatchback,Delhi,278899
165,Maruti,Swift,VDI,2013,70684,Diesel,First Owner,Hatchback,Delhi,334999
166,Hyundai,i20,SPORTZ 1.4 CRDI,2012,97289,Diesel,Second Owner,Hatchback,Delhi,269999
167,Maruti,Ritz,VDI,2015,64475,Diesel,First Owner,Hatchback,Delhi,294699
168,Maruti,Ritz,VDI,2013,76553,Diesel,First Owner,Hatchback,Delhi,273599
169,Hyundai,Grand,i10 SPORTS 1.2 VTVT,2016,54578,Petrol + CNG,Second Owner,Hatchback,Delhi,366699
170,Maruti,Swift,VDI ABS,2015,66476,Diesel,First Owner,Hatchback,Delhi,406099
171,Maruti,Swift,VXI,2011,78545,Petrol,First Owner,Hatchback,Delhi,323499
172,Maruti,Swift,VDI,2012,76353,Diesel,First Owner,Hatchback,Delhi,308299
173,Hyundai,i20,SPORTZ 1.4 CRDI,2012,79907,Diesel,Second Owner,Hatchback,Delhi,278499
174,Maruti,Alto,800 LXI,2015,61907,Petrol,First Owner,Hatchback,Delhi,231799
175,Maruti,Swift,VDI,2014,70681,Diesel,Second Owner,Hatchback,Delhi,337099
176,Maruti,Swift,VDI ABS,2015,80910,Diesel,First Owner,Hatchback,Delhi,405899
177,Maruti,Alto,K10 LXI,2011,80346,Petrol,First Owner,Hatchback,Delhi,207499
178,Maruti,Swift,VDI,2012,84213,Diesel,First Owner,Hatchback,Delhi,317399
179,Maruti,Swift,ZDI,2012,79122,Diesel,Second Owner,Hatchback,Delhi,360299
180,Maruti,Ritz,VDI,2012,80575,Diesel,Second Owner,Hatchback,Delhi,228399
181,Maruti,Swift,VDI,2012,82585,Diesel,First Owner,Hatchback,Delhi,302799
182,Maruti,Swift,VDI,2012,80682,Diesel,First Owner,Hatchback,Delhi,304899
183,Hyundai,Elite,i20 SPORTZ 1.2,2017,74267,Petrol,First Owner,Hatchback,Delhi,499299
184,Hyundai,Elite,i20 MAGNA 1.4 CRDI,2015,78343,Diesel,First Owner,Hatchback,Delhi,438699
185,Hyundai,i20,Active 1.4 S,2018,70732,Diesel,First Owner,Hatchback,Delhi,534699
186,Maruti,Swift,ZDI,2012,84352,Diesel,First Owner,Hatchback,Delhi,320299
187,Maruti,Swift,LDI BS IV,2013,75493,Diesel,First Owner,Hatchback,Delhi,301499
188,Maruti,Swift,VDI,2013,74429,Diesel,Second Owner,Hatchback,Delhi,313099
189,Maruti,Alto,LXI,2008,83258,Petrol,First Owner,Hatchback,Delhi,134599
190,Maruti,Swift,VDI,2015,86567,Diesel,First Owner,Hatchback,Delhi,363699
191,Hyundai,i10,MAGNA 1.2,2008,94707,Petrol,First Owner,Hatchback,Delhi,157499
192,Maruti,Ritz,LXI,2010,101633,Petrol,Second Owner,Hatchback,Delhi,210799
193,Maruti,Swift,VDI,2013,67011,Diesel,First Owner,Hatchback,Delhi,345399
194,Maruti,Ritz,VXI,2009,80590,Petrol,First Owner,Hatchback,Delhi,251299
195,Honda,Brio,1.2 S MT I VTEC,2015,71317,Petrol,Third Owner,Hatchback,Delhi,265699
196,Maruti,Ritz,LXI,2010,75699,Petrol + CNG,Third Owner,Hatchback,Delhi,237799
197,Maruti,Swift,VXI,2014,71876,Petrol,First Owner,Hatchback,Delhi,382199
198,Maruti,Swift,VDI ABS,2015,92086,Diesel,First Owner,Hatchback,Delhi,389099
199,Maruti,Alto,K10 VXI,2016,85207,Petrol,Second Owner,Hatchback,Delhi,268299
200,Maruti,Alto,LXI,2008,54799,Petrol,First Owner,Hatchback,Delhi,112399
201,Maruti,Swift,VDI,2014,71382,Diesel,First Owner,Hatchback,Delhi,347599
202,Maruti,Ritz,VDI,2012,86937,Diesel,Second Owner,Hatchback,Delhi,264999
203,Maruti,Zen,Estilo VXI,2009,98519,Petrol,First Owner,Hatchback,Delhi,160199
204,Maruti,Swift,VDI,2012,95400,Diesel,Second Owner,Hatchback,Delhi,285899
205,Honda,Jazz,1.2 V AT,2015,87341,Petrol,Second Owner,Hatchback,Delhi,445899
206,Fiat,Punto,EVO MULTIJET 1.3 90 HP,2014,82095,Diesel,First Owner,Hatchback,Delhi,266799
207,Maruti,Swift,VXI,2017,58074,Petrol,First Owner,Hatchback,Delhi,502299
208,Maruti,Swift,VDI,2014,79144,Diesel,First Owner,Hatchback,Delhi,365999
209,Maruti,Swift,VDI ABS,2015,76042,Diesel,First Owner,Hatchback,Delhi,417899
210,Maruti,Swift,VDI,2014,72597,Diesel,First Owner,Hatchback,Delhi,359299
211,Hyundai,Santro,Xing GL,2008,91288,Petrol,First Owner,Hatchback,Delhi,145399
212,Maruti,Swift,VDI ABS,2014,83368,Diesel,First Owner,Hatchback,Delhi,360399
213,Maruti,Swift,VDI ABS,2015,76724,Diesel,First Owner,Hatchback,Delhi,411699
214,Maruti,Ritz,VXI BS IV,2010,161419,Petrol,Second Owner,Hatchback,Delhi,201799
215,Hyundai,Santro,Xing GLS,2008,96247,Petrol,First Owner,Hatchback,Delhi,132799
216,Ford,Figo,1.4 LXI DURATORQ,2012,109230,Diesel,First Owner,Hatchback,Delhi,224199
217,Maruti,Alto,K10 VXI,2011,118427,Petrol,First Owner,Hatchback,Delhi,168499
218,Hyundai,i20,SPORTZ O 1.4 CRDI,2012,87995,Diesel,Third Owner,Hatchback,Delhi,246599
219,Toyota,Etios,Liva GD,2012,94952,Diesel,First Owner,Hatchback,Delhi,259299
220,Maruti,Swift,VDI,2013,78620,Diesel,Second Owner,Hatchback,Delhi,355199
221,Maruti,Ritz,LDI,2012,101187,Diesel,Second Owner,Hatchback,Delhi,204899
222,Maruti,Swift,VDI ABS,2015,86072,Diesel,First Owner,Hatchback,Delhi,412999
223,Hyundai,i20,SPORTZ 1.4 CRDI,2013,84346,Diesel,First Owner,Hatchback,Delhi,331699
224,Maruti,Zen,Estilo VXI,2009,99165,Petrol,Second Owner,Hatchback,Delhi,148799
225,Maruti,Swift,VDI,2013,82591,Diesel,First Owner,Hatchback,Delhi,331299
226,Toyota,Etios,Liva D 4D GD,2012,87914,Diesel,First Owner,Hatchback,Delhi,260799
227,Maruti,Swift,VXI,2011,95427,Petrol,Second Owner,Hatchback,Delhi,255499
228,Maruti,Swift,VDI,2013,86036,Diesel,First Owner,Hatchback,Delhi,330399
229,Maruti,Swift,VDI,2012,89809,Diesel,First Owner,Hatchback,Delhi,284699
230,Maruti,Swift,VDI ABS,2015,85611,Diesel,First Owner,Hatchback,Delhi,407799
231,Hyundai,i10,ERA,2007,109750,Petrol,First Owner,Hatchback,Delhi,155999
232,Maruti,Swift,VDI,2014,82346,Diesel,First Owner,Hatchback,Delhi,347199
233,Maruti,Swift,VDI,2013,87567,Diesel,First Owner,Hatchback,Delhi,332999
234,Maruti,Swift,VDI ABS,2015,86417,Diesel,First Owner,Hatchback,Delhi,426199
235,Maruti,Swift,VDI,2013,81239,Diesel,First Owner,Hatchback,Delhi,317599
236,Maruti,Swift,VDI ABS,2015,72533,Diesel,Second Owner,Hatchback,Delhi,404499
237,Hyundai,Grand,i10 MAGNA 1.1 CRDI,2014,85203,Diesel,Second Owner,Hatchback,Delhi,262399
238,Maruti,Swift,VDI,2014,88382,Diesel,First Owner,Hatchback,Delhi,384899
239,Maruti,Swift,VDI,2013,87266,Diesel,First Owner,Hatchback,Delhi,306099
240,Maruti,Baleno,ALPHA DDIS 190,2016,81175,Diesel,First Owner,Hatchback,Delhi,527299
241,Hyundai,i20,ASTA 1.4 CRDI,2012,108007,Diesel,Second Owner,Hatchback,Delhi,303699
242,Maruti,Swift,VDI,2012,102024,Diesel,First Owner,Hatchback,Delhi,289999
243,Honda,Brio,1.2 S MT I VTEC,2013,90659,Petrol,Second Owner,Hatchback,Delhi,232699
244,Hyundai,i20,MAGNA O 1.4 CRDI,2013,94267,Diesel,First Owner,Hatchback,Delhi,313499
245,Maruti,Swift,VDI ABS,2015,92527,Diesel,First Owner,Hatchback,Delhi,377399
246,Toyota,Etios,Liva GD exclusive,2013,97735,Diesel,First Owner,Hatchback,Delhi,301099
247,Maruti,Swift,VDI,2012,95613,Diesel,First Owner,Hatchback,Delhi,300599
248,Maruti,Ritz,LDI,2013,97984,Diesel,First Owner,Hatchback,Delhi,219899
249,Maruti,Swift,VXI,2014,91931,Petrol,First Owner,Hatchback,Delhi,361199
250,Honda,Jazz,1.2 BASE I VTEC,2010,107333,Petrol,Second Owner,Hatchback,Delhi,235099
251,Maruti,Ritz,VXI BS IV,2011,115774,Petrol,First Owner,Hatchback,Delhi,288199
252,Volkswagen,Polo,GT TSI,2018,43872,Petrol,First Owner,Hatchback,Delhi,703899
253,Honda,Brio,1.2 S MT I VTEC,2012,106081,Petrol,Second Owner,Hatchback,Delhi,266699
254,Hyundai,Elite,i20 SPORTZ 1.4,2016,105733,Diesel,First Owner,Hatchback,Delhi,487399
255,Hyundai,Elite,i20 ASTA 1.4 CRDI,2015,82388,Diesel,First Owner,Hatchback,Delhi,471699
256,Maruti,Swift,VDI,2012,142099,Diesel,First Owner,Hatchback,Delhi,283299
257,Maruti,Wagon,R 1.0 VXI,2013,103766,Petrol,First Owner,Hatchback,Delhi,275799
258,Maruti,Swift,VDI ABS,2015,91159,Diesel,First Owner,Hatchback,Delhi,391099
259,Toyota,Etios,Liva GD,2013,104810,Diesel,First Owner,Hatchback,Delhi,297699
260,Maruti,Swift,LXI 1.3,2009,103858,Petrol,First Owner,Hatchback,Delhi,197299
261,Maruti,Ritz,VDI,2012,100995,Diesel,First Owner,Hatchback,Delhi,237899
262,Maruti,Ritz,VDI,2012,123546,Diesel,First Owner,Hatchback,Delhi,218799
263,Maruti,Swift,VDI,2012,115605,Diesel,First Owner,Hatchback,Delhi,285999
264,Maruti,Baleno,ALPHA DDIS 190,2016,107803,Diesel,First Owner,Hatchback,Delhi,499299
265,Maruti,Swift,VDI ABS,2015,97868,Diesel,First Owner,Hatchback,Delhi,381999
266,Maruti,Swift,VDI ABS,2015,91461,Diesel,First Owner,Hatchback,Delhi,405299
267,Maruti,Alto,800 LXI,2012,126375,Petrol,Second Owner,Hatchback,Delhi,195299
268,Maruti,Swift,VDI,2012,113073,Diesel,First Owner,Hatchback,Delhi,266999
269,Maruti,Ritz,VXI,2009,119824,Petrol,First Owner,Hatchback,Delhi,189699
270,Maruti,Swift,VDI ABS,2015,101209,Diesel,First Owner,Hatchback,Delhi,373099
271,Maruti,Swift,VDI ABS,2015,96266,Diesel,First Owner,Hatchback,Delhi,409799
272,Maruti,Swift,VDI ABS,2015,107563,Diesel,First Owner,Hatchback,Delhi,428099
273,Maruti,Swift,VDI ABS,2015,85551,Diesel,First Owner,Hatchback,Delhi,412099
274,Maruti,Swift,VDI,2012,105388,Diesel,First Owner,Hatchback,Delhi,349199
275,Maruti,Swift,VDI,2013,107134,Diesel,First Owner,Hatchback,Delhi,299199
276,Hyundai,i20,MAGNA 1.4 CRDI,2013,81344,Diesel,Second Owner,Hatchback,Delhi,313699
277,Maruti,Swift,ZDI,2012,136700,Diesel,First Owner,Hatchback,Delhi,316299
278,Hyundai,i20,SPORTZ O 1.4 CRDI,2012,118130,Diesel,Third Owner,Hatchback,Delhi,235999
