id =1, brand=Maruti, model=Alto, Manufacture Year=2018, price=343799
id =66, brand=Renault, model=Kwid, Manufacture Year=2018, price=322799
id =70, brand=Maruti, model=Swift, Manufacture Year=2013, price=310199
id =72, brand=Honda, model=Brio, Manufacture Year=2015, price=342199
id =78, brand=Maruti, model=Alto, Manufacture Year=2018, price=367999
id =82, brand=Honda, model=Brio, Manufacture Year=2015, price=340899
id =84, brand=Maruti, model=Ritz, Manufacture Year=2014, price=310599
id =85, brand=Maruti, model=Swift, Manufacture Year=2015, price=411999
id =86, brand=Maruti, model=Ritz, Manufacture Year=2014, price=326499
id =87, brand=Maruti, model=Swift, Manufacture Year=2014, price=451299
id =88, brand=Maruti, model=Swift, Manufacture Year=2014, price=379099
id =89, brand=Maruti, model=Swift, Manufacture Year=2012, price=324399
id =90, brand=Maruti, model=Celerio, Manufacture Year=2019, price=387299
id =91, brand=Hyundai, model=Elite, Manufacture Year=2017, price=544899
id =96, brand=Hyundai, model=Grand, Manufacture Year=2017, price=428399
id =97, brand=Maruti, model=Swift, Manufacture Year=2013, price=329299
id =98, brand=Maruti, model=Swift, Manufacture Year=2017, price=531899
id =103, brand=Toyota, model=Etios, Manufacture Year=2012, price=304899
id =104, brand=Tata, model=Tiago, Manufacture Year=2016, price=391999
id =105, brand=Maruti, model=Swift, Manufacture Year=2013, price=330099
id =106, brand=Tata, model=Tiago, Manufacture Year=2016, price=323099
id =109, brand=Hyundai, model=Elite, Manufacture Year=2015, price=444399
id =113, brand=Maruti, model=Swift, Manufacture Year=2013, price=311399
id =117, brand=Hyundai, model=Grand, Manufacture Year=2016, price=378599
id =119, brand=Maruti, model=Swift, Manufacture Year=2017, price=491599
id =121, brand=Maruti, model=Swift, Manufacture Year=2013, price=346899
id =123, brand=Hyundai, model=Grand, Manufacture Year=2016, price=450199
id =124, brand=Toyota, model=Etios, Manufacture Year=2013, price=302099
id =125, brand=Maruti, model=Swift, Manufacture Year=2015, price=410499
id =127, brand=Honda, model=Jazz, Manufacture Year=2018, price=597799
id =128, brand=Hyundai, model=Elite, Manufacture Year=2016, price=546199
id =130, brand=Maruti, model=Swift, Manufacture Year=2013, price=350599
id =132, brand=Hyundai, model=Elite, Manufacture Year=2015, price=505899
id =134, brand=Maruti, model=Swift, Manufacture Year=2015, price=425399
id =137, brand=Maruti, model=Celerio, Manufacture Year=2016, price=352499
id =138, brand=Toyota, model=Etios, Manufacture Year=2014, price=374799
id =140, brand=Maruti, model=Swift, Manufacture Year=2014, price=403899
id =143, brand=Maruti, model=Swift, Manufacture Year=2012, price=309499
id =145, brand=Hyundai, model=i20, Manufacture Year=2014, price=345199
id =149, brand=Maruti, model=Swift, Manufacture Year=2012, price=399599
id =150, brand=Maruti, model=Swift, Manufacture Year=2014, price=428799
id =151, brand=Maruti, model=Ritz, Manufacture Year=2013, price=300499
id =152, brand=Maruti, model=Swift, Manufacture Year=2015, price=381399
id =155, brand=Maruti, model=Swift, Manufacture Year=2015, price=393099
id =156, brand=Volkswagen, model=Polo, Manufacture Year=2012, price=326699
id =157, brand=Honda, model=Jazz, Manufacture Year=2010, price=318499
id =159, brand=Maruti, model=Wagon, Manufacture Year=2018, price=366099
id =162, brand=Toyota, model=Etios, Manufacture Year=2013, price=314299
id =165, brand=Maruti, model=Swift, Manufacture Year=2013, price=334999
id =169, brand=Hyundai, model=Grand, Manufacture Year=2016, price=366699
id =170, brand=Maruti, model=Swift, Manufacture Year=2015, price=406099
id =171, brand=Maruti, model=Swift, Manufacture Year=2011, price=323499
id =172, brand=Maruti, model=Swift, Manufacture Year=2012, price=308299
id =175, brand=Maruti, model=Swift, Manufacture Year=2014, price=337099
id =176, brand=Maruti, model=Swift, Manufacture Year=2015, price=405899
id =178, brand=Maruti, model=Swift, Manufacture Year=2012, price=317399
id =179, brand=Maruti, model=Swift, Manufacture Year=2012, price=360299
id =181, brand=Maruti, model=Swift, Manufacture Year=2012, price=302799
id =182, brand=Maruti, model=Swift, Manufacture Year=2012, price=304899
id =183, brand=Hyundai, model=Elite, Manufacture Year=2017, price=499299
id =184, brand=Hyundai, model=Elite, Manufacture Year=2015, price=438699
id =185, brand=Hyundai, model=i20, Manufacture Year=2018, price=534699
id =186, brand=Maruti, model=Swift, Manufacture Year=2012, price=320299
id =187, brand=Maruti, model=Swift, Manufacture Year=2013, price=301499
id =188, brand=Maruti, model=Swift, Manufacture Year=2013, price=313099
id =190, brand=Maruti, model=Swift, Manufacture Year=2015, price=363699
id =193, brand=Maruti, model=Swift, Manufacture Year=2013, price=345399
id =197, brand=Maruti, model=Swift, Manufacture Year=2014, price=382199
id =198, brand=Maruti, model=Swift, Manufacture Year=2015, price=389099
id =201, brand=Maruti, model=Swift, Manufacture Year=2014, price=347599
id =205, brand=Honda, model=Jazz, Manufacture Year=2015, price=445899
id =207, brand=Maruti, model=Swift, Manufacture Year=2017, price=502299
id =208, brand=Maruti, model=Swift, Manufacture Year=2014, price=365999
id =209, brand=Maruti, model=Swift, Manufacture Year=2015, price=417899
id =210, brand=Maruti, model=Swift, Manufacture Year=2014, price=359299
id =212, brand=Maruti, model=Swift, Manufacture Year=2014, price=360399
id =213, brand=Maruti, model=Swift, Manufacture Year=2015, price=411699
id =220, brand=Maruti, model=Swift, Manufacture Year=2013, price=355199
id =222, brand=Maruti, model=Swift, Manufacture Year=2015, price=412999
id =223, brand=Hyundai, model=i20, Manufacture Year=2013, price=331699
id =225, brand=Maruti, model=Swift, Manufacture Year=2013, price=331299
id =228, brand=Maruti, model=Swift, Manufacture Year=2013, price=330399
id =230, brand=Maruti, model=Swift, Manufacture Year=2015, price=407799
id =232, brand=Maruti, model=Swift, Manufacture Year=2014, price=347199
id =233, brand=Maruti, model=Swift, Manufacture Year=2013, price=332999
id =234, brand=Maruti, model=Swift, Manufacture Year=2015, price=426199
id =235, brand=Maruti, model=Swift, Manufacture Year=2013, price=317599
id =236, brand=Maruti, model=Swift, Manufacture Year=2015, price=404499
id =238, brand=Maruti, model=Swift, Manufacture Year=2014, price=384899
id =239, brand=Maruti, model=Swift, Manufacture Year=2013, price=306099
id =240, brand=Maruti, model=Baleno, Manufacture Year=2016, price=527299
id =241, brand=Hyundai, model=i20, Manufacture Year=2012, price=303699
id =244, brand=Hyundai, model=i20, Manufacture Year=2013, price=313499
id =245, brand=Maruti, model=Swift, Manufacture Year=2015, price=377399
id =246, brand=Toyota, model=Etios, Manufacture Year=2013, price=301099
id =247, brand=Maruti, model=Swift, Manufacture Year=2012, price=300599
id =249, brand=Maruti, model=Swift, Manufacture Year=2014, price=361199
id =254, brand=Hyundai, model=Elite, Manufacture Year=2016, price=487399
id =255, brand=Hyundai, model=Elite, Manufacture Year=2015, price=471699
id =258, brand=Maruti, model=Swift, Manufacture Year=2015, price=391099
id =264, brand=Maruti, model=Baleno, Manufacture Year=2016, price=499299
id =265, brand=Maruti, model=Swift, Manufacture Year=2015, price=381999
id =266, brand=Maruti, model=Swift, Manufacture Year=2015, price=405299
id =270, brand=Maruti, model=Swift, Manufacture Year=2015, price=373099
id =271, brand=Maruti, model=Swift, Manufacture Year=2015, price=409799
id =272, brand=Maruti, model=Swift, Manufacture Year=2015, price=428099
id =273, brand=Maruti, model=Swift, Manufacture Year=2015, price=412099
id =274, brand=Maruti, model=Swift, Manufacture Year=2012, price=349199
id =276, brand=Hyundai, model=i20, Manufacture Year=2013, price=313699
id =277, brand=Maruti, model=Swift, Manufacture Year=2012, price=316299
id =280, brand=Maruti, model=Swift, Manufacture Year=2015, price=423799
id =284, brand=Maruti, model=Swift, Manufacture Year=2015, price=397599
id =285, brand=Hyundai, model=i20, Manufacture Year=2013, price=309599
id =286, brand=Toyota, model=Etios, Manufacture Year=2014, price=330799
id =287, brand=Hyundai, model=Elite, Manufacture Year=2015, price=474099
id =288, brand=Hyundai, model=Elite, Manufacture Year=2015, price=470999
id =289, brand=Volkswagen, model=Polo, Manufacture Year=2015, price=431899
id =290, brand=Toyota, model=Etios, Manufacture Year=2014, price=312599
id =292, brand=Hyundai, model=Elite, Manufacture Year=2017, price=497099
id =293, brand=Maruti, model=Swift, Manufacture Year=2015, price=417599
id =294, brand=Maruti, model=Swift, Manufacture Year=2014, price=348399
id =296, brand=Maruti, model=Swift, Manufacture Year=2014, price=357899
id =297, brand=Maruti, model=Swift, Manufacture Year=2013, price=328499
id =301, brand=Toyota, model=Etios, Manufacture Year=2013, price=314699
id =302, brand=Toyota, model=Etios, Manufacture Year=2013, price=300399
id =303, brand=Maruti, model=Swift, Manufacture Year=2014, price=396799
id =304, brand=Toyota, model=Etios, Manufacture Year=2014, price=313799
id =305, brand=Maruti, model=Swift, Manufacture Year=2012, price=313199
id =308, brand=Hyundai, model=Grand, Manufacture Year=2013, price=308499
id =312, brand=Maruti, model=Swift, Manufacture Year=2015, price=359799
id =313, brand=Toyota, model=Etios, Manufacture Year=2013, price=304699
id =314, brand=Maruti, model=Swift, Manufacture Year=2013, price=338399
id =315, brand=Maruti, model=Swift, Manufacture Year=2014, price=344099
id =316, brand=Maruti, model=Swift, Manufacture Year=2015, price=362199
id =319, brand=Maruti, model=Swift, Manufacture Year=2014, price=356299
id =320, brand=Maruti, model=Swift, Manufacture Year=2013, price=336799
id =321, brand=Maruti, model=Swift, Manufacture Year=2013, price=310699
id =323, brand=Maruti, model=Swift, Manufacture Year=2012, price=319599
id =324, brand=Hyundai, model=i20, Manufacture Year=2013, price=340099
id =325, brand=Hyundai, model=Grand, Manufacture Year=2014, price=314799
id =327, brand=Hyundai, model=Elite, Manufacture Year=2015, price=428999
id =330, brand=Volkswagen, model=Polo, Manufacture Year=2015, price=369899
id =333, brand=Hyundai, model=Elite, Manufacture Year=2018, price=551699
id =336, brand=Maruti, model=Celerio, Manufacture Year=2018, price=452799
id =337, brand=Renault, model=Kwid, Manufacture Year=2019, price=332299
id =339, brand=Hyundai, model=Grand, Manufacture Year=2016, price=405899
id =341, brand=Hyundai, model=Grand, Manufacture Year=2017, price=439999
id =343, brand=Maruti, model=Alto, Manufacture Year=2019, price=399099
id =345, brand=Volkswagen, model=Polo, Manufacture Year=2016, price=372699
id =348, brand=Renault, model=Kwid, Manufacture Year=2019, price=398599
id =350, brand=Volkswagen, model=Polo, Manufacture Year=2014, price=354499
id =351, brand=Hyundai, model=Grand, Manufacture Year=2014, price=356699
id =354, brand=Toyota, model=Etios, Manufacture Year=2015, price=364599
id =355, brand=Maruti, model=Swift, Manufacture Year=2014, price=378099
id =358, brand=Honda, model=Jazz, Manufacture Year=2016, price=449299
id =359, brand=Hyundai, model=Grand, Manufacture Year=2015, price=321799
id =360, brand=Maruti, model=Swift, Manufacture Year=2015, price=342999
id =361, brand=Maruti, model=Baleno, Manufacture Year=2019, price=560399
id =364, brand=Maruti, model=Swift, Manufacture Year=2015, price=387499
id =369, brand=Hyundai, model=Grand, Manufacture Year=2014, price=364899
id =372, brand=Maruti, model=Celerio, Manufacture Year=2016, price=386299
id =374, brand=Maruti, model=Swift, Manufacture Year=2017, price=468899
id =375, brand=Maruti, model=S, Manufacture Year=2019, price=395499
id =376, brand=Maruti, model=Swift, Manufacture Year=2015, price=447099
id =378, brand=Maruti, model=IGNIS, Manufacture Year=2018, price=489999
id =380, brand=Maruti, model=Baleno, Manufacture Year=2019, price=505099
id =391, brand=Hyundai, model=i20, Manufacture Year=2013, price=319799
id =392, brand=Hyundai, model=Elite, Manufacture Year=2017, price=519199
id =399, brand=Hyundai, model=Grand, Manufacture Year=2017, price=450199
id =400, brand=Maruti, model=Swift, Manufacture Year=2013, price=310299
id =403, brand=Tata, model=Tiago, Manufacture Year=2019, price=504299
id =404, brand=Maruti, model=Ritz, Manufacture Year=2015, price=361899
id =410, brand=Maruti, model=Alto, Manufacture Year=2018, price=308599
id =412, brand=Hyundai, model=i20, Manufacture Year=2012, price=312599
id =413, brand=Hyundai, model=Elite, Manufacture Year=2017, price=533899
id =414, brand=Maruti, model=Swift, Manufacture Year=2013, price=362299
id =416, brand=Tata, model=Tiago, Manufacture Year=2018, price=428899
id =417, brand=Maruti, model=IGNIS, Manufacture Year=2019, price=448399
id =418, brand=Maruti, model=Swift, Manufacture Year=2015, price=376299
id =419, brand=Hyundai, model=Grand, Manufacture Year=2016, price=349099
id =420, brand=Volkswagen, model=Polo, Manufacture Year=2016, price=413999
id =421, brand=Maruti, model=Swift, Manufacture Year=2014, price=388799
id =424, brand=Maruti, model=Baleno, Manufacture Year=2016, price=446499
id =426, brand=Tata, model=Tiago, Manufacture Year=2019, price=386399
id =428, brand=Maruti, model=Swift, Manufacture Year=2012, price=309799
id =430, brand=Renault, model=Kwid, Manufacture Year=2018, price=303099
id =431, brand=Maruti, model=Baleno, Manufacture Year=2018, price=467599
id =432, brand=Maruti, model=Swift, Manufacture Year=2018, price=453299
id =434, brand=Honda, model=Brio, Manufacture Year=2015, price=389799
id =435, brand=Maruti, model=Wagon, Manufacture Year=2017, price=307899
id =437, brand=Maruti, model=Swift, Manufacture Year=2016, price=343899
id =438, brand=Maruti, model=Alto, Manufacture Year=2020, price=321199
id =439, brand=Maruti, model=Baleno, Manufacture Year=2017, price=495099
id =441, brand=Volkswagen, model=Polo, Manufacture Year=2012, price=352199
id =442, brand=Hyundai, model=Elite, Manufacture Year=2017, price=481599
id =443, brand=Maruti, model=Swift, Manufacture Year=2013, price=375099
id =445, brand=Maruti, model=Baleno, Manufacture Year=2018, price=520399
id =446, brand=Maruti, model=Swift, Manufacture Year=2013, price=350799
id =449, brand=Hyundai, model=Elite, Manufacture Year=2015, price=548199
id =450, brand=Volkswagen, model=Polo, Manufacture Year=2015, price=398899
id =455, brand=Maruti, model=Baleno, Manufacture Year=2018, price=575299
id =458, brand=Tata, model=Tiago, Manufacture Year=2016, price=355199
id =459, brand=Hyundai, model=Elite, Manufacture Year=2014, price=400699
id =461, brand=Maruti, model=Swift, Manufacture Year=2018, price=509999
id =462, brand=Maruti, model=Swift, Manufacture Year=2012, price=311899
id =463, brand=Maruti, model=Swift, Manufacture Year=2019, price=556199
id =466, brand=Maruti, model=Baleno, Manufacture Year=2017, price=449199
id =470, brand=Hyundai, model=i20, Manufacture Year=2012, price=315999
id =471, brand=Maruti, model=Baleno, Manufacture Year=2019, price=592199
id =474, brand=Hyundai, model=Grand, Manufacture Year=2014, price=359899
id =475, brand=Maruti, model=Baleno, Manufacture Year=2016, price=467399
id =476, brand=Hyundai, model=i20, Manufacture Year=2013, price=300599
id =479, brand=Maruti, model=Alto, Manufacture Year=2020, price=309199
id =480, brand=Maruti, model=Swift, Manufacture Year=2018, price=432899
id =481, brand=Maruti, model=Swift, Manufacture Year=2016, price=365099
id =483, brand=Maruti, model=Swift, Manufacture Year=2015, price=342799
id =484, brand=Hyundai, model=Grand, Manufacture Year=2017, price=433199
id =486, brand=Hyundai, model=Elite, Manufacture Year=2017, price=525499
id =487, brand=Maruti, model=Celerio, Manufacture Year=2015, price=336499
id =488, brand=Maruti, model=Celerio, Manufacture Year=2016, price=336199
id =489, brand=Maruti, model=Celerio, Manufacture Year=2016, price=359599
id =491, brand=Maruti, model=Swift, Manufacture Year=2015, price=391499
id =495, brand=Maruti, model=Baleno, Manufacture Year=2018, price=489599
id =502, brand=Hyundai, model=Elite, Manufacture Year=2016, price=489999
id =505, brand=Maruti, model=Baleno, Manufacture Year=2016, price=552599
id =506, brand=Maruti, model=Swift, Manufacture Year=2018, price=557099
id =508, brand=Maruti, model=Swift, Manufacture Year=2018, price=482299
id =509, brand=Maruti, model=Wagon, Manufacture Year=2014, price=304699
id =514, brand=Maruti, model=Swift, Manufacture Year=2018, price=549099
id =516, brand=Maruti, model=Swift, Manufacture Year=2019, price=506099
id =519, brand=Maruti, model=Baleno, Manufacture Year=2015, price=431899
id =521, brand=Maruti, model=Swift, Manufacture Year=2014, price=322399
id =524, brand=Hyundai, model=i20, Manufacture Year=2013, price=339899
id =527, brand=Tata, model=Tiago, Manufacture Year=2019, price=403799
id =533, brand=Maruti, model=Celerio, Manufacture Year=2016, price=396299
id =544, brand=Hyundai, model=Grand, Manufacture Year=2013, price=357900
id =545, brand=Toyota, model=Glanza, Manufacture Year=2019, price=575000
id =549, brand=Maruti, model=Wagon, Manufacture Year=2018, price=400000
id =550, brand=Datsun, model=Redi, Manufacture Year=2019, price=325000
id =551, brand=Maruti, model=Swift, Manufacture Year=2015, price=400000
id =553, brand=Maruti, model=Baleno, Manufacture Year=2017, price=578900
id =555, brand=Maruti, model=Wagon, Manufacture Year=2018, price=410000
id =557, brand=Volkswagen, model=Polo, Manufacture Year=2014, price=400000
id =559, brand=Renault, model=Kwid, Manufacture Year=2019, price=370500
id =564, brand=Hyundai, model=Grand, Manufacture Year=2016, price=585000
id =565, brand=Volkswagen, model=Polo, Manufacture Year=2016, price=425000
id =566, brand=Hyundai, model=Grand, Manufacture Year=2019, price=530000
id =567, brand=Maruti, model=Wagon, Manufacture Year=2018, price=450000
id =569, brand=Hyundai, model=Grand, Manufacture Year=2016, price=415000
id =573, brand=Tata, model=Bolt, Manufacture Year=2015, price=350000
id =574, brand=Hyundai, model=i10, Manufacture Year=2015, price=395000
id =576, brand=Maruti, model=Wagon, Manufacture Year=2016, price=375000
id =577, brand=Maruti, model=Baleno, Manufacture Year=2017, price=535000
id =578, brand=Hyundai, model=i10, Manufacture Year=2015, price=310000
id =582, brand=Maruti, model=Wagon, Manufacture Year=2016, price=375000
id =585, brand=Hyundai, model=Elite, Manufacture Year=2014, price=590000
id =586, brand=Maruti, model=Baleno, Manufacture Year=2016, price=439000
id =587, brand=Hyundai, model=Grand, Manufacture Year=2018, price=550000
id =588, brand=Hyundai, model=Grand, Manufacture Year=2018, price=506000
id =589, brand=Hyundai, model=i10, Manufacture Year=2016, price=400000
id =590, brand=Hyundai, model=i10, Manufacture Year=2013, price=310000
id =592, brand=Hyundai, model=Elite, Manufacture Year=2017, price=520000
id =596, brand=Volkswagen, model=Polo, Manufacture Year=2015, price=395000
id =601, brand=Honda, model=Jazz, Manufacture Year=2017, price=580000
id =603, brand=Hyundai, model=i20, Manufacture Year=2012, price=325000
id =607, brand=Honda, model=Jazz, Manufacture Year=2015, price=446000
id =610, brand=Tata, model=Tiago, Manufacture Year=2019, price=515000
id =617, brand=Hyundai, model=i10, Manufacture Year=2015, price=335000
id =622, brand=Maruti, model=Alto, Manufacture Year=2017, price=310000
id =625, brand=Maruti, model=Wagon, Manufacture Year=2017, price=380000
id =628, brand=Maruti, model=Swift, Manufacture Year=2012, price=306099
id =629, brand=Hyundai, model=Grand, Manufacture Year=2015, price=385999
id =632, brand=Maruti, model=Swift, Manufacture Year=2014, price=353099
id =634, brand=Maruti, model=Alto, Manufacture Year=2020, price=373399
id =635, brand=Renault, model=Kwid, Manufacture Year=2019, price=324299
id =636, brand=Maruti, model=Alto, Manufacture Year=2016, price=308099
id =638, brand=Maruti, model=Alto, Manufacture Year=2018, price=340199
id =640, brand=Maruti, model=Swift, Manufacture Year=2015, price=368999
id =642, brand=Maruti, model=Swift, Manufacture Year=2017, price=536299
id =644, brand=Hyundai, model=Grand, Manufacture Year=2019, price=489799
id =645, brand=Maruti, model=Alto, Manufacture Year=2019, price=337299
id =647, brand=Maruti, model=Swift, Manufacture Year=2012, price=322999
id =648, brand=Hyundai, model=Grand, Manufacture Year=2015, price=356399
id =649, brand=Maruti, model=Swift, Manufacture Year=2013, price=334699
id =650, brand=Maruti, model=Swift, Manufacture Year=2013, price=311699
id =653, brand=Maruti, model=Alto, Manufacture Year=2017, price=303799
id =654, brand=Renault, model=Kwid, Manufacture Year=2019, price=407499
id =655, brand=Maruti, model=Swift, Manufacture Year=2013, price=355599
id =656, brand=Maruti, model=Swift, Manufacture Year=2015, price=383299
id =660, brand=Volkswagen, model=Polo, Manufacture Year=2015, price=350299
id =664, brand=Maruti, model=Swift, Manufacture Year=2018, price=452899
id =665, brand=Honda, model=Brio, Manufacture Year=2015, price=306699
id =666, brand=Maruti, model=Baleno, Manufacture Year=2017, price=539299
id =667, brand=Maruti, model=Swift, Manufacture Year=2015, price=409099
id =668, brand=Maruti, model=Alto, Manufacture Year=2019, price=356699
id =669, brand=Maruti, model=Alto, Manufacture Year=2017, price=357299
id =670, brand=Honda, model=Jazz, Manufacture Year=2018, price=590399
id =671, brand=Maruti, model=New, Manufacture Year=2019, price=479199
id =673, brand=Maruti, model=Swift, Manufacture Year=2017, price=498699
id =674, brand=Maruti, model=Baleno, Manufacture Year=2015, price=512899
id =675, brand=Maruti, model=S, Manufacture Year=2020, price=400199
id =677, brand=Toyota, model=Etios, Manufacture Year=2013, price=311299
id =678, brand=Maruti, model=Swift, Manufacture Year=2018, price=506499
id =679, brand=Hyundai, model=Elite, Manufacture Year=2015, price=472199
id =682, brand=Maruti, model=Swift, Manufacture Year=2013, price=300099
id =684, brand=Maruti, model=Swift, Manufacture Year=2016, price=439199
id =687, brand=Maruti, model=Swift, Manufacture Year=2013, price=375499
id =688, brand=Toyota, model=Etios, Manufacture Year=2011, price=316399
id =689, brand=Maruti, model=Swift, Manufacture Year=2013, price=402599
id =690, brand=Honda, model=City, Manufacture Year=2016, price=543699
id =691, brand=Honda, model=City, Manufacture Year=2012, price=419199
id =692, brand=Maruti, model=Swift, Manufacture Year=2012, price=338499
id =693, brand=Maruti, model=Swift, Manufacture Year=2012, price=340399
id =694, brand=Maruti, model=Swift, Manufacture Year=2012, price=360499
id =696, brand=Maruti, model=Swift, Manufacture Year=2014, price=370999
id =697, brand=Maruti, model=Dzire, Manufacture Year=2017, price=594199
id =698, brand=Honda, model=City, Manufacture Year=2010, price=383099
id =699, brand=Honda, model=City, Manufacture Year=2010, price=399799
id =700, brand=Maruti, model=Ciaz, Manufacture Year=2017, price=586099
id =701, brand=Maruti, model=Swift, Manufacture Year=2012, price=336299
id =702, brand=Maruti, model=Swift, Manufacture Year=2012, price=302999
id =705, brand=Hyundai, model=Verna, Manufacture Year=2013, price=425699
id =706, brand=Hyundai, model=Verna, Manufacture Year=2015, price=505199
id =708, brand=Maruti, model=Swift, Manufacture Year=2013, price=339999
id =711, brand=Honda, model=City, Manufacture Year=2012, price=453099
id =713, brand=Maruti, model=Swift, Manufacture Year=2012, price=307199
id =714, brand=Ford, model=Fiesta, Manufacture Year=2012, price=302499
id =716, brand=Maruti, model=Swift, Manufacture Year=2013, price=346199
id =718, brand=Maruti, model=Swift, Manufacture Year=2013, price=396099
id =720, brand=Maruti, model=Swift, Manufacture Year=2013, price=354999
id =721, brand=Honda, model=City, Manufacture Year=2012, price=445099
id =722, brand=Maruti, model=Swift, Manufacture Year=2015, price=435399
id =727, brand=Honda, model=City, Manufacture Year=2011, price=321899
id =728, brand=Maruti, model=Swift, Manufacture Year=2012, price=358799
id =729, brand=Maruti, model=Swift, Manufacture Year=2015, price=425099
id =730, brand=Maruti, model=Swift, Manufacture Year=2012, price=367999
id =732, brand=Maruti, model=Ciaz, Manufacture Year=2017, price=571699
id =735, brand=Maruti, model=Swift, Manufacture Year=2013, price=369899
id =736, brand=Maruti, model=Swift, Manufacture Year=2013, price=371099
id =737, brand=Honda, model=City, Manufacture Year=2014, price=439399
id =738, brand=Maruti, model=Swift, Manufacture Year=2013, price=423799
id =739, brand=Maruti, model=Swift, Manufacture Year=2015, price=465499
id =740, brand=Maruti, model=Swift, Manufacture Year=2012, price=351399
id =742, brand=Maruti, model=Swift, Manufacture Year=2015, price=400499
id =744, brand=Volkswagen, model=Jetta, Manufacture Year=2012, price=439699
id =745, brand=Hyundai, model=Verna, Manufacture Year=2012, price=441899
id =746, brand=Maruti, model=Swift, Manufacture Year=2012, price=341399
id =747, brand=Hyundai, model=Verna, Manufacture Year=2014, price=445999
id =748, brand=Maruti, model=Swift, Manufacture Year=2012, price=310299
id =749, brand=Honda, model=City, Manufacture Year=2011, price=311399
id =750, brand=Volkswagen, model=Vento, Manufacture Year=2014, price=314999
id =751, brand=Maruti, model=Swift, Manufacture Year=2014, price=359899
id =752, brand=Maruti, model=Swift, Manufacture Year=2013, price=415799
id =753, brand=Maruti, model=Swift, Manufacture Year=2014, price=367599
id =754, brand=Maruti, model=Swift, Manufacture Year=2013, price=365199
id =755, brand=Maruti, model=Swift, Manufacture Year=2015, price=367699
id =757, brand=Maruti, model=Swift, Manufacture Year=2012, price=313899
id =758, brand=Honda, model=City, Manufacture Year=2010, price=346399
id =759, brand=Maruti, model=Swift, Manufacture Year=2015, price=371999
id =761, brand=Maruti, model=Swift, Manufacture Year=2015, price=345999
id =762, brand=Honda, model=Amaze, Manufacture Year=2018, price=552099
id =763, brand=Skoda, model=Rapid, Manufacture Year=2015, price=367799
id =764, brand=Hyundai, model=Verna, Manufacture Year=2012, price=399699
id =765, brand=Volkswagen, model=Vento, Manufacture Year=2013, price=332299
id =766, brand=Maruti, model=Swift, Manufacture Year=2014, price=389099
id =769, brand=Maruti, model=Swift, Manufacture Year=2014, price=353099
